Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,ms_restriction,restriction,restriction_confidence,safety_flags,ms_peptide_count,ms_cancer_peptide_count,ms_ebv_lcl_peptide_count,ms_healthy_somatic_peptide_count,ms_healthy_reproductive_peptide_count,ms_healthy_thymus_peptide_count,ms_healthy_somatic_tissue_count,ms_healthy_somatic_tissues,ms_pmids
NUTM1,,,cancer-testis antigen,ENSG00000184507,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9648,0.9648,1.0,1.0,ENST00000333756,protein_coding,True,True,True,True,True,19.2,False,19.8,0.0,0.0,cerebellum,0.4,0,0.4,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,CANCER_ONLY,TESTIS,HIGH,,9.0,5.0,1.0,0.0,0.0,0.0,0.0,,;24714562;30192525;31848261;32387766;32488085;33968037;35051231
CAGE1,,,cancer-testis antigen,ENSG00000164304,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9608,0.9608,1.0,1.0,ENST00000502583,protein_coding,True,True,True,True,True,4.9,False,5.0,0.0,0.0,bone marrow,0.2,0,0.1,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,CANCER_ONLY,TESTIS,HIGH,,4.0,1.0,1.0,0.0,0.0,0.0,0.0,,31217245;31530632;35051231
PAGE1,,,cancer-testis antigen,ENSG00000068985,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Enhanced,True,False,testis,0.9941,0.9941,1.0,1.0,ENST00000376150,protein_coding,True,True,True,True,True,16.7,False,17.2,0.0,0.1,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,NO_MS_DATA,TESTIS,HIGH,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PAGE2,,,cancer-testis antigen,ENSG00000234068,CTpedia;CTexploreR_CT;daSilva2017;daSilva2017_protein,True,False,Supported,True,False,testis,0.9148,0.9153,1.0,1.0,ENST00000374968,protein_coding,True,True,True,True,True,27.1,False,27.9,0.2,0.7,cerebral cortex,1.1,1,1.1,0.0,0.0,0.1,0.0,TESTIS,True,False,False,SOMATIC,MODERATE,CANCER_ONLY,TESTIS,LOW,,9.0,8.0,1.0,0.0,0.0,0.0,0.0,,31217245;32157095;32938616;37938771
PAGE2B,,,cancer-testis antigen,ENSG00000238269,CTpedia;CTexploreR_CTP;daSilva2017;daSilva2017_protein,True,False,Supported,False,False,testis,0.8164,0.817,0.9483,0.9483,ENST00000374971,protein_coding,True,True,False,False,True,55.0,False,56.5,0.3,0.3,bone marrow,4.0,1,0.7,0.1,0.2,0.4,0.1,TESTIS,True,False,False,SOMATIC,PERMISSIVE,CANCER_ONLY,TESTIS,LOW,,9.0,8.0,1.0,0.0,0.0,0.0,0.0,,31217245;32157095;32938616;37938771
PAGE3,,,cancer-testis antigen,ENSG00000204279,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000374951,protein_coding,True,True,True,True,True,7.4,False,7.6,0.0,0.0,medulla oblongata,0.1,0,0.1,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,NO_MS_DATA,TESTIS,HIGH,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
PAGE5,,,cancer-testis antigen,ENSG00000158639,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.8805,0.881,1.0,1.0,ENST00000374955,protein_coding,True,True,True,True,True,25.8,False,26.5,0.0,0.0,liver,1.0,1,0.1,0.0,0.0,1.0,0.0,TESTIS,True,False,False,SOMATIC,MODERATE,CANCER_ONLY,TESTIS,LOW,,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,27600516;32157095;32488085;32938616;33968037;37938771
XAGE1A,,,cancer-testis antigen,ENSG00000204379,CTpedia;CTexploreR_CT,no data,no data,no data,True,False,no data,0.9913,0.9913,1.0,1.0,ENST00000375602,protein_coding,True,True,True,True,True,45.7,False,94.5,0.0,0.0,liver,1.5,1,0.0,0.0,0.2,1.5,0.0,NO_DATA,,,,SOMATIC,MODERATE,CANCER_ONLY,SOMATIC,MODERATE,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,,27600516;32157095;32387766;32938616;35580925;36165170
XAGE1B,,,cancer-testis antigen,ENSG00000204382,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,False,False,no data,0.8806,0.8808,0.987,0.987,ENST00000518075,protein_coding,True,True,True,False,False,53.1,False,37.8,0.0,0.0,lung,0.9,0,0.2,0.0,0.9,0.0,0.0,NO_DATA,,,,TESTIS,MODERATE,NO_MS_DATA,TESTIS,MODERATE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
XAGE3,,,cancer-testis antigen,ENSG00000171402,CTpedia,True,False,Supported,False,False,placenta,0.9804,0.9804,0.9922,0.9922,ENST00000346279,protein_coding,True,True,True,True,True,368.3,False,1.4,0.1,382.1,adipose tissue,3.1,2,0.1,0.1,0.3,2.0,0.3,PLACENTAL,False,False,True,SOMATIC,MODERATE,SINGLETON_HEALTHY,PLACENTAL,LOW,,2.0,1.0,0.0,1.0,0.0,0.0,1.0,esophagus,31844290;33858848
